prod_Name,Price,Ratings
Samsung Galaxy A20s (Blue| 32 GB),Rs.11999,4.5
Samsung Galaxy A20s (Black| 32 GB),Rs.11999,4.5
Samsung Galaxy A20 (Black| 32 GB),Rs.11490,4.3
Samsung Galaxy A30 (Black| 64 GB),Rs.15490,4.4
Samsung Galaxy A30 (Blue| 64 GB),Rs.15490,4.4
Samsung Galaxy A20 (Gold| 32 GB),Rs.11490,4.3
Samsung Galaxy A10s (Green| 32 GB),Rs.10499,4.5
Samsung Galaxy A20 (Deep Blue| 32 GB),Rs.11490,4.3
Samsung Galaxy A10s (Black| 32 GB),Rs.10499,4.5
Samsung Galaxy J6 (Blue| 64 GB),Rs.9490,4.5
Samsung Galaxy J6 (Black| 32 GB),Rs.10490,4.4
Samsung Galaxy A30 (White| 64 GB),Rs.15490,4.4
Samsung Galaxy M30 (Gradation Blue| 64 GB),Rs.13999,4.4
Samsung Galaxy A10s (Blue| 32 GB),Rs.9499,4.4
Samsung Galaxy J6 (Black| 64 GB),Rs.9490,4.5
Samsung Galaxy J7 - 6 (New 2016 Edition) (Black| 16 GB),Rs.13800No Cost ,4.3
Samsung Galaxy J4 (Black| 16 GB),Rs.9600No Cost ,4.3
Samsung On7 Pro (Gold| 16 GB),Rs.7980,4.1
Samsung Galaxy J6 (Blue| 32 GB),Rs.10490,4.4
Samsung Galaxy J7 Prime (Gold| 32 GB),Rs.15300No Cost ,4.2
Samsung Galaxy A20s (Green| 64 GB),Rs.13999,4.4
Samsung Galaxy A20s (Green| 32 GB),Rs.11999,4.5
Samsung Galaxy A10s (Blue| 32 GB),Rs.10499,4.5
Samsung Galaxy J7 Nxt (Black| 16 GB),Rs.10990No Cost ,4.4
